ID;CODE;ISO_DIG;ISO_LAT3;NAME_RUS;NAME_COU;NAME_COU1;NAME_COU2;NAME_COU3;CB_DATE;CE_DATE
138;138;191;HRK;КУНА;ХОРВАТИЯ;;;;01.07.1995;18.06.1997
304;230;682;SAR;САУДОВСКИЙ РИЯЛ;САУДОВСКАЯ АРАВИЯ;;;;01.01.2001;31.12.2099
174;174;388;JMD;ЯМАЙСКИЙ ДОЛЛАР;ЯМАЙКА;;;;01.07.1995;31.12.2099
409;279;978;EUR;ЕВРО;"АВСТРИЯ; АНДОРРА; БЕЛЬГИЯ; ГВАДЕЛУПА; ГЕРМАНИЯ; ГРЕЦИЯ; ИРЛАНДИЯ; ИСПАНИЯ; ИТАЛИЯ; КИПР; ЛЮКСЕМБУРГ; МАЙОТТА; МАЛЬТА; МАРТИНИКА; МОНАКО; НИДЕРЛАНДЫ; ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО - ГОРОД ВАТИКАН); ПОРТУГАЛИЯ; РЕЮНЬОН; САН-МАРИНО; СЕН-БАРТЕЛЕМИ; СЕН-МА";"РТЕН (ФРАНЦУЗСКАЯ ЧАСТЬ); СЕНТ-ПЬЕР И МИКЕЛОН; СЛОВАКИЯ; СЛОВЕНИЯ; ФИНЛЯНДИЯ; ФРАНЦИЯ; ФРАНЦУЗСКАЯ ГВИАНА; ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ; ЧЕРНОГОРИЯ; ЭЛАНДСКИЕ ОСТРОВА; ЭСТОНИЯ";;;25.06.2012;31.12.2013
188;188;434;LYD;ЛИВИЙСКИЙ ДИНАР;ЛИВИЙСКАЯ АРАБСКАЯ ДЖАМАХИРИЯ;;;;01.07.1995;24.06.2012
410;305;936;GHS;ГАНСКИЙ СЕДИ;ГАНА;;;;25.06.2012;31.12.2099
135;135;180;ZRN;НОВЫЙ ЗАИР;ЗАИР;;;;01.07.1995;31.12.2000
209;209;533;AWG;АРУБАНСКИЙ ГУЛЬДЕН;АРУБА;;;;01.07.1995;15.01.2012
269;269;901;TWD;НОВЫЙ ТАЙВАНЬСКИЙ ДОЛЛАР;ТАЙВАНЬ, ПРОВИНЦИЯ КИТАЯ;;;;01.07.1995;31.12.2002
392;268;894;ZMK;ЗАМБИЙСКАЯ КВАЧА;ЗАМБИЯ;;;;07.09.2009;31.12.2012
353;257;810;RUR;ПРИЗНАК РОССИЙСКОГО РУБЛЯ;РОССИЯ;;;;01.01.2004;29.02.2004
115;115;060;BMD;БЕРМУДСКИЙ ДОЛЛАР;БЕРМУДСКИЕ ОСТРОВА;;;;01.07.1995;31.12.2002
319;115;060;BMD;БЕРМУДСКИЙ ДОЛЛАР;БЕРМУДЫ;;;;01.01.2003;31.12.2099
326;179;408;KPW;СЕВЕРО-КОРЕЙСКАЯ ВОНА;КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА;;;;01.01.2003;31.10.2008
149;149;242;FJD;ДОЛЛАР ФИДЖИ;ФИДЖИ;;;;01.07.1995;31.12.2099
349;287;891;CSD;СЕРБСКИЙ ДИНАР;СЕРБИЯ И ЧЕРНОГОРИЯ;;;;01.01.2004;31.12.2006
361;105;031;AZM;АЗЕРБАЙДЖАНСКИЙ МАНАТ;АЗЕРБАЙДЖАН;;;;01.11.2005;31.12.2006
153;153;268;GEK;ГРУЗИНСКИЙ КУПОН;ГРУЗИЯ;;;;01.07.1995;31.10.1999
104;104;024;AON;НОВАЯ КВАНЗА;АНГОЛА;;;;01.07.1995;31.12.2000
145;145;222;SVC;САЛЬВАДОРСКИЙ КОЛОН;САЛЬВАДОР;;;;01.07.1995;31.12.2002
345;145;222;SVC;САЛЬВАДОРСКИЙ КОЛОН;ЭЛЬ-САЛЬВАДОР;;;;01.01.2003;31.12.2099
283;153;981;GEL;ЛАРИ;ГРУЗИЯ;;;;01.11.1999;31.12.2099
334;256;807;MKD;ДИНАР;МАКЕДОНИЯ, БЫВШАЯ ЮГОСЛАВСКАЯ РЕСПУБЛИКА;;;;01.01.2003;18.06.2006
275;275;960;XDR;СДР (СПЕЦИАЛЬНЫЕ ПРАВА ЗАИМСТВОВАНИЯ);МЕЖДУНАРОДНЫЙ ВАЛЮТНЫЙ ФОНД;;;;01.07.1995;31.12.2002
108;108;040;ATS;ШИЛЛИНГ;АВСТРИЯ;;;;01.07.1995;31.12.2002
260;260;834;TZS;ТАНЗАНИЙСКИЙ ШИЛЛИНГ;ТАНЗАНИЯ,  ЕДИНАЯ РЕСПУБЛИКА;;;;01.07.1995;31.12.2002
441;321;926;VED;БОЛИВАР СОБЕРАНО;ВЕНЕСУЭЛА (БОЛИВАРИАНСКАЯ РЕСПУБЛИКА);;;;01.01.2022;31.12.2099
436;316;928;VES;БОЛИВАР СОБЕРАНО;ВЕНЕСУЭЛА (БОЛИВАРИАНСКАЯ РЕСПУБЛИКА);;;;07.11.2018;31.12.2021
391;264;862;VEB;БОЛИВАР;ВЕНЕСУЭЛА (БОЛИВАРИАНСКАЯ РЕСПУБЛИКА);;;;07.09.2009;15.11.2009
438;243;748;SZL;ЛИЛАНГЕНИ;ЭСВАТИНИ;;;;07.11.2018;31.12.2099
179;179;408;KPW;СЕВЕРО-КОРЕЙСКАЯ ВОНА;КОРЕЯ, ДЕМОКРАТИЧЕСКАЯ НАРОДНАЯ РЕСПУБЛИКА;;;;01.07.1995;31.12.2002
205;205;516;NAD;ДОЛЛАР НАМИБИИ;НАМИБИЯ;;;;01.07.1995;31.12.2099
198;198;480;MUR;МАВРИКИЙСКАЯ РУПИЯ;МАВРИКИЙ;;;;01.07.1995;31.12.2099
103;103;020;ADP;АНДОРРСКАЯ ПЕСЕТА;АНДОРРА;;;;01.07.1995;30.06.2001
221;221;616;PLZ;ЗЛОТЫЙ;ПОЛЬША;;;;01.07.1995;31.10.1999
200;200;496;MNT;ТУГРИК;МОНГОЛИЯ;;;;01.07.1995;31.12.2099
143;143;214;DOP;ДОМИНИКАНСКОЕ ПЕСО;ДОМИНИКАНСКАЯ РЕСПУБЛИКА;;;;01.07.1995;31.12.2099
206;206;524;NPR;НЕПАЛЬСКАЯ РУПИЯ;НЕПАЛ;;;;01.07.1995;31.12.2099
208;208;532;ANG;НИДЕРЛАНДСКИЙ АНТИЛЬСКИЙ ГУЛЬДЕН;НИДЕРЛАНДСКИЕ АНТИЛЬСКИЕ ОСТРОВА;;;;01.07.1995;31.12.2002
329;208;532;ANG;НИДЕРЛАНДСКИЙ АНТИЛЬСКИЙ ГУЛЬДЕН;НИДЕРЛАНДСКИЕ АНТИЛЫ;;;;01.01.2003;30.06.2011
170;170;368;IQD;ИРАКСКИЙ ДИНАР;"ИРАК; НЕЙТРАЛЬНАЯ ЗОНА(МЕЖДУ САУДОВСКОЙ АРАВИЕЙ И ИРАКОМ)";;;;01.07.1995;31.12.2000
306;170;368;IQD;ИРАКСКИЙ ДИНАР;ИРАК;;;;01.01.2001;31.12.2099
240;240;724;ESP;ИСПАНСКАЯ ПЕСЕТА;"АНДОРРА; ИСПАНИЯ";;;;01.07.1995;31.12.2002
192;192;450;MGF;МАЛАГАСИЙСКИЙ ФРАНК;МАДАГАСКАР;;;;01.07.1995;31.12.2004
229;229;678;STD;ДОБРА;САН-ТОМЕ И ПРИНСИПИ;;;;01.07.1995;31.03.2018
